date_of_install,ID
20180401,38
20180402,48
20180403,30
20180404,37
20180405,33
20180406,20
20180407,15
20180408,18
20180409,15
20180410,14
20180411,26
20180412,40
20180413,13
20180414,17
20180415,15
20180416,11
20180417,24
20180418,13
20180419,12
20180420,6
20180421,10
20180422,7
20180423,1
20180424,8
20180425,17
20180426,14
20180427,9
20180428,16
20180429,14
20180430,14
20180501,3
20180502,11
20180503,8
20180504,16
20180505,11
20180506,16
20180507,9
20180508,7
20180509,6
20180510,10
20180511,8
20180512,6
20180513,4
20180514,9
20180515,8
20180516,7
20180517,4
20180518,6
20180519,5
20180520,7
20180521,3
20180522,7
20180523,13
20180524,18
20180525,9
20180526,24
20180527,18
20180528,11
20180529,17
20180530,7
20180531,11
20180601,6
20180602,15
20180603,11
20180604,6
20180605,8
20180606,7
20180607,6
20180608,7
20180609,8
20180610,5
20180611,5
20180612,4
20180613,13
20180614,6
20180615,5
20180616,3
20180617,7
20180618,6
20180619,15
20180620,6
20180621,8
20180622,14
20180623,5
20180624,7
20180625,7
20180626,5
20180627,6
20180628,8
20180629,14
20180630,5
20180701,10
20180702,4
20180703,2
20180704,2
20180705,4
20180706,10
20180707,1
20180708,5
20180709,5
20180710,16
20180711,23
20180712,11
20180713,39
20180714,57
20180715,43
20180716,20
20180717,40
20180718,28
20180719,33
20180720,15
20180721,14
20180722,20
20180723,18
20180724,30
20180725,24
20180726,20
20180727,16
20180728,17
20180729,22
20180730,82
20180731,68
20180801,18
20180802,14
20180803,11
20180804,20
20180805,20
20180806,15
20180807,21
20180808,16
20180809,18
20180810,6
20180811,14
20180812,10
20180813,20
20180814,24
20180815,16
20180816,15
20180817,10
20180818,8
20180819,17
20180820,12
20180821,18
20180822,13
20180823,16
20180824,19
20180825,10
20180826,23
20180827,17
20180828,12
20180829,17
20180830,13
20180831,5
20180901,12
20180902,3
20180903,10
20180904,12
20180905,6
20180906,4
20180907,3
20180908,9
20180909,5
20180910,8
20180911,9
20180912,4
20180913,9
20180914,6
20180915,8
20180916,6
20180917,4
20180918,9
20180919,9
20180920,4
20180921,8
20180922,9
20180923,4
20180924,2
20180925,1
20180926,12
20180927,9
20180928,3
20180929,2
20180930,6
20181001,6
20181002,26
20181003,13
20181004,15
20181005,8
20181006,5
20181007,5
20181008,7
20181009,9
20181010,8
20181011,13
20181012,8
20181013,8
20181014,10
20181015,6
20181016,25
20181017,15
20181018,101
20181019,32
20181020,32
20181021,43
20181022,15
20181023,20
20181024,13
20181025,17
20181026,13
20181027,6
20181028,12
20181029,6
20181030,15
20181031,7
20181101,12
20181102,11
20181103,8
20181104,3
20181105,9
20181106,11
20181107,10
20181108,10
20181109,13
20181110,16
20181111,21
20181112,6
20181113,11
20181114,11
20181115,18
20181116,20
20181117,25
20181118,20
20181119,27
20181120,28
20181121,26
20181122,24
20181123,18
20181124,20
20181125,20
20181126,16
20181127,20
20181128,23
20181129,17
20181130,22
20181201,24
20181202,15
20181203,7
20181204,13
20181205,13
20181206,8
20181207,8
20181208,12
20181209,3
20181210,5
20181211,13
20181212,10
20181213,12
20181214,7
20181215,8
20181216,10
20181217,6
20181218,5
20181219,15
20181220,7
20181221,6
20181222,8
20181223,12
20181224,3
20181225,3
20181226,11
20181227,5
20181228,12
20181229,8
20181230,12
20181231,4
20190101,16
20190102,15
20190103,20
20190104,17
20190105,2
20190106,9
20190107,3
20190108,12
20190109,7
20190110,14
20190111,8
20190112,5
20190113,6
20190114,12
20190115,6
20190116,8
20190117,7
20190118,7
20190119,4
20190120,3
20190121,5
20190122,5
